sampled_at_utc,local_date,local_time,weekday,slot,period,direction,home,duration_s,duration_min,static_duration_s,distance_m,delay_ratio,status,note
2026-08-31T22:02:04Z,2026-08-31,15:02,Monday,15:00,afternoon,office_to_home,home1,4573,76.2,3051,69148,1.499,ok,
2026-08-31T22:02:04Z,2026-08-31,15:02,Monday,15:00,afternoon,office_to_home,home2,3142,52.4,2965,71866,1.060,ok,
2026-08-31T23:56:33Z,2026-08-31,16:56,Monday,17:00,afternoon,office_to_home,home1,4940,82.3,3051,69148,1.619,ok,
2026-08-31T23:56:33Z,2026-08-31,16:56,Monday,17:00,afternoon,office_to_home,home2,3267,54.5,3063,72813,1.067,ok,
2026-09-01T00:00:31Z,2026-08-31,17:00,Monday,17:00,afternoon,office_to_home,home1,4994,83.2,3051,69148,1.637,ok,
2026-09-01T00:00:31Z,2026-08-31,17:00,Monday,17:00,afternoon,office_to_home,home2,3265,54.4,3063,72813,1.066,ok,
2026-09-01T00:15:34Z,2026-08-31,17:15,Monday,17:15,afternoon,office_to_home,home1,4850,80.8,3143,72164,1.543,ok,
2026-09-01T00:15:34Z,2026-08-31,17:15,Monday,17:15,afternoon,office_to_home,home2,3188,53.1,3063,72813,1.041,ok,
2026-09-01T00:30:32Z,2026-08-31,17:30,Monday,17:30,afternoon,office_to_home,home1,4575,76.2,3051,69148,1.500,ok,
2026-09-01T00:30:32Z,2026-08-31,17:30,Monday,17:30,afternoon,office_to_home,home2,3179,53.0,3062,72810,1.038,ok,
